userName,score,at,content
Indra Last,4,2024-03-30 07:49:54,"Tagihan sudah terbayar, tapi ditunggu sudah hampir 2 hari belum terverifikasi. Mana sudah jatuh tempo besoknya. Apa memang ini disengaja agar kita kena denda dan penalty ?"
Kardi Katingan,5,2024-03-30 04:08:53,"Baik saya akan jaga pembayaran dan selalu tepat waktu pada akun KREDIVO saya , kemudian akan saya lihat juga untuk dari tim analis KREDIVO, apakah akan ada pertimbangan perubahan tingkatan skor kredit saya dari C ke B hingga A atau tambah turun ke D hingga E ( kol 5=buruk/ termasuk kredit macet ) , akan Naik atau tetap bertahan atau juga malah turun nantinya dalam beberapa hari , beberapa Minggu hingga 1 bulan kedepan , terimaksih"
SCO Projeck,2,2024-03-30 03:37:49,"Saya turunin lagi bintang ya karna .. kenapa saya sudah bayar tepat waktu dan melunasi semua tagihan saya tapi kenapa mau pake lagi ga bisa,,"
Nining Wahyuni,1,2024-03-30 01:15:16,"Parah,,,dari kemaren sudah saya laporan ke CS klo aq sudah bayar sebelum jatuh tempo di aplikasi status masih belum membayar padahal di internet banking ku sudah berhasil..sudah hubungi CS ke sana sini juga tidak di respon..barusan dpt tlfon dri CS malah bolak balik kata""nya itu"" trs kayaknya robot ...gimana ini??"
KKCancer,5,2024-03-29 12:20:21,"Terimakasih banyak kepada Kredivo telah mempermudah saya untuk melakukan transaksi pembayaran secara online maupun offline sangat membantu sekali. Terimakasih Kredivo.catatan untuk kredivo, jika di respon saya sangat berterimakasih sekali (tolong di saat waktu pembayaran atau telah telat 1 sd 2 hari, mohon denda perharinya di perkecil lagi untuk kenyamanan bersama. Mohon responnya terimakasih ."
Adabi 14,1,2024-03-29 12:05:58,"Tolong hapus akun saya..,saya sudah melunasi smua,walau ada tagihan misterius 7580,tapi tidak apa saya sudah bayar 10000.tolong jangan d salah gunakan data saya..karena saya sudah selesai dgn anda per hari ini saya uninstal aplikas ini..,untuk yg lain biar bintang yg berbicara."
hendra setiawan,5,2024-03-29 11:48:33,"Parah sih ini, kemarin saya kasih bintang 3 sekarang saya kasih bintang 5.udah parah banget soalnya tagihan udah dibayar semua limit kembali.tapi malah ngkk bisa di buat apa.semua transaksi di tolak.di merchant apapun di tolak terus limit kembali buat apa klo nggk bisa di buat transaksi"
Nabil Sabilir,4,2024-03-29 11:25:47,"Saran aja buat kredivo kl bisa limit nya jgn di batasi per 30hari,3bulan,6bulan,12bulan.. Jd kl mau blnj agak susah..kadang linit 30hari g mencukupi.apalagi yg 12 bulan udah pake sekali g bisa pake lagi,kudu lunas dl.🤣🤣🤭🤭 Saran aja,kyk di sebelah limit global sekian juta sy malah suka pake yg dr Aku*******sering sy pake.mau blnj tgl pilih tenor nya. Dari 1bulan,3bulan,6bulan,12bulan."
Desi Ariska,5,2024-03-29 10:11:02,"Aplikasi nya bagus,dan mudah proses nya.. Tapi kenapa ya,saya ga bisa buka aplikasi kredivo nya,tiap kali masuk ke aplikasi langsung keluar secara otomatis,mohon bantuan nya?"
Aulia Putri,3,2024-03-29 09:27:56,Kenapa pengaturan pinnya ga selesai selesai yah ... buffering terus .. untuk awal pengguna bisa langsung pengajuan pinjaman tunai kan ... ?
Sergie Prasetya Nurfazri,1,2024-03-29 08:14:51,"Makin kesini makin gajelas limit 12jt, telat bayar juga ngga, kadang dibayar sebelum jatuh tempo, giliran mau minjam lagi ditolak dengan alasan ada pinjaman di aplikasi lain padahal tidak, dan mau saya coba untuk gunakan belanja di toko oren, qris, beli paket data dan lainnya tetap tidak bisa dengan alasan ""status transaksi tidak sah lah/demi menjaga keamanan akun anda"". Kecewa parah makin kesini padahal sering make ini aplikasi, kalau ada rating -10 saya pilih karena bintang 1 terlalu bagus👎🏻"
