content,cleansing
"Baru kali ini saya bener bener di rugikaaan sama sekali sma kredivo, saya beli kuota Telkomsel yang 174.000 melalui kredivo ,saya konfirmasi pembayaran dan saat itu muncul tulisan eror dan saya coba lagi sampai 3 kali masih eror, nah ketika saya masuk ke aplikasi Telkomsel ternyata sukses dan yang bikin saya kecewa berrat Ternyata 3 kali coba itu sukses dan saya harus membayar 522.000 rb uang dari mana coba,sumpah ga ngerti lagi sama kredivo saya bener bener di rugikan. Minta pertanggungjawaban",Baru kali ini saya bener bener di rugikan sama sekali sma kredivo  saya beli kuota Telkomsel yang melalui kredivo  saya konfirmasi pembayaran dan saat itu muncul tulisan eror dan saya coba lagi sampai kali masih eror  nah ketika saya masuk ke aplikasi Telkomsel ternyata sukses dan yang bikin saya kecewa berrat Ternyata kali coba itu sukses dan saya harus membayar rb uang dari mana coba sumpah ga ngerti lagi sama kredivo saya bener bener di rugikan  Minta pertanggungjawaban
"Akun premium yg ngga jelas, limit besar tp ngga bisa pakai.sangat kecewa saya,padahal udah lama pake kredivo.sistem yg jelek.mending pake akun basic ajalah,bisa dipake semua limitnya.",Akun premium yg ngga jelas  limit besar tp ngga bisa pakai sangat kecewa saya padahal udah lama pake kredivo sistem yg jelek mending pake akun basic ajalah bisa dipake semua limitnya
Kredivo pelayanan dan pencairan cepat dan bunga rendah asalkan data2 yg diberikan lengkap. Terima kasih sdh membantu. Semoga ke depannya lebih mudah lagi kalo top up...,Kredivo pelayanan dan pencairan cepat dan bunga rendah asalkan data  yg diberikan lengkap  Terima kasih sdh membantu  Semoga ke depannya lebih mudah lagi kalo top up
Luar biasa kredivo,Luar biasa kredivo
"Sampai saat ini aplikasi KREDIVO sangat membantu dan memudahkan dalam berbelanja online secara kredit dan ada pinjaman uang dengan tenor 3, 6 dan 12 bulan dan saya sudah bisa pengajuan belanja maupun pinjaman uang dengan tenor 6 bulan, semoga ke depan KREDIVO selalu memberi kemudahan dan menurunkan tingkat bunga serta tetep lancar terus agar mendapatkan fasilitas terbaik. Terima kasih banyak.",Sampai saat ini aplikasi KREDIVO sangat membantu dan memudahkan dalam berbelanja online secara kredit dan ada pinjaman uang dengan tenor dan bulan dan saya sudah bisa pengajuan belanja maupun pinjaman uang dengan tenor bulan  semoga ke depan KREDIVO selalu memberi kemudahan dan menurunkan tingkat bunga serta tetep lancar terus agar mendapatkan fasilitas terbaik  Terima kasih banyak
Saya ada transaksi pakai q rish..tagihan sudah sudah masuk..tapi transaksi saldo tidak masuk di pihak merchant..saya sudah cari bukti jg d pihak merchant di bank ..sudah di kasik bukti .tapi pihak kredivo tidak mau tanggung jawab .pdhl d aplikasi kredivo ada notifikasi transaksi masih di proses silahkan hubungi customer service kredivo. Tapi pihak kredivo tidak mau tau.nominal saya cukup lumayan 1jt..saya tidak terima dana..tp saya d suruh bayar tagihan.. aplikasi apa ini..,Saya ada transaksi pakai rish  tagihan sudah sudah masuk  tapi transaksi saldo tidak masuk di pihak merchant  saya sudah cari bukti jg pihak merchant di bank sudah di kasik bukti  tapi pihak kredivo tidak mau tanggung jawab  pdhl aplikasi kredivo ada notifikasi transaksi masih di proses silahkan hubungi customer service kredivo  Tapi pihak kredivo tidak mau tau nominal saya cukup lumayan  jt  saya tidak terima dana  tp saya suruh bayar tagihan aplikasi apa ini
"Sering make,baik buat belanja dan pinjaman ,rutin bayar tepat waktu,bahkan dipercepat,namun tetep gka naik2 limitnya udah beberapa tahun make padahal",Sering make baik buat belanja dan pinjaman  rutin bayar tepat waktu bahkan dipercepat namun tetep gka naik  limitnya udah beberapa tahun make padahal
"Saya merasa dirugikan oleh kredivo, mengajukan pengaduan tidak ditanggapi walaupun sudah email ke CS, sudah bayar tagihan tapi tidak di proses pembayran saya, total tagihan tidak berkurang, bukti pembayran sudah dilampirkan, pada tgl. 4 mar 2024. sudah hari kedua masih tidak ditanggapi. sudah denda keterlambatan tinggi telp tidak berhenti setiap hari. sangat mengecewakan pelanggan.",Saya merasa dirugikan oleh kredivo  mengajukan pengaduan tidak ditanggapi walaupun sudah email ke CS  sudah bayar tagihan tapi tidak di proses pembayran saya  total tagihan tidak berkurang  bukti pembayran sudah dilampirkan  pada tgl mar sudah hari kedua masih tidak ditanggapi  sudah denda keterlambatan tinggi telp tidak berhenti setiap hari  sangat mengecewakan pelanggan
"Mempermudah transaksi, proses super cepat, sangat membantu utk kebutuhan yg mendesak, jos pokok men",Mempermudah transaksi  proses super cepat  sangat membantu utk kebutuhan yg mendesak  jos pokok men
Keren,Keren
Kenapa akun kredivo saya tidak bisa digunakan untuk transaksi padahal limit masih banyak dan tidak pernah telat bayar. Kecewa saya pada akhirnya. Semoga bisa terselesaikan. Tim analis lah yg ini dan itu. Pembayaran tidak sah.. lakukan secara berkala. Ujung2 nya begitu. Di perbaiki sistemnya.,Kenapa akun kredivo saya tidak bisa digunakan untuk transaksi padahal limit masih banyak dan tidak pernah telat bayar  Kecewa saya pada akhirnya  Semoga bisa terselesaikan  Tim analis lah yg ini dan itu  Pembayaran tidak sah lakukan secara berkala  Ujung  nya begitu  Di perbaiki sistemnya
