Formalisasi,Stopword Removal
"['baru', 'kali', 'ini', 'saya', 'benar', 'benar', 'di', 'rugi', 'sama', 'sekali', 'sama', 'kredivo', 'saya', 'beli', 'kuota', 'telkomsel', 'yang', 'lalu', 'kredivo', 'saya', 'konfirmasi', 'bayar', 'dan', 'saat', 'itu', 'muncul', 'tulis', 'error', 'dan', 'saya', 'coba', 'lagi', 'sampai', 'kali', 'masih', 'error', 'nah', 'ketika', 'saya', 'masuk', 'ke', 'aplikasi', 'telkomsel', 'nyata', 'sukses', 'dan', 'yang', 'bikin', 'saya', 'kecewa', 'rat', 'nyata', 'kali', 'coba', 'itu', 'sukses', 'dan', 'saya', 'harus', 'bayar', 'ribu', 'uang', 'dari', 'mana', 'coba', 'sumpah', 'ga', 'mengerti', 'lagi', 'sama', 'kredivo', 'saya', 'benar', 'benar', 'di', 'rugi', 'minta', 'pertanggungjawaban']",kali rugi kredivo beli kuota telkomsel kredivo konfirmasi bayar muncul tulis error coba kali error masuk aplikasi telkomsel nyata sukses bikin kecewa rat nyata kali coba sukses bayar ribu uang coba sumpah ga mengerti kredivo rugi pertanggungjawaban
"['akun', 'premium', 'yang', 'tidak', 'jelas', 'limit', 'besar', 'tapi', 'tidak', 'bisa', 'pakai', 'sangat', 'kecewa', 'saya', 'padahal', 'sudah', 'lama', 'pakai', 'kredivo', 'sistem', 'yang', 'jelek', 'lebih baik', 'pakai', 'akun', 'basic', 'saja', 'bisa', 'dipake', 'semua', 'limit']",akun premium limit pakai kecewa pakai kredivo sistem jelek lebih baik pakai akun basic dipake limit
"['kredivo', 'layan', 'dan', 'cair', 'cepat', 'dan', 'bunga', 'rendah', 'asal', 'data', 'yang', 'beri', 'lengkap', 'terima', 'kasih', 'sdh', 'bantu', 'moga', 'ke', 'depan', 'lebih', 'mudah', 'lagi', 'kalau', 'top', 'up']",kredivo layan cair cepat bunga rendah data lengkap terima kasih sdh bantu moga mudah top up
"['luar', 'biasa', 'kredivo']",kredivo
"['sampai', 'saat', 'ini', 'aplikasi', 'kredivo', 'sangat', 'bantu', 'dan', 'mudah', 'dalam', 'belanja', 'online', 'cara', 'kredit', 'dan', 'ada', 'pinjam', 'uang', 'dengan', 'tenor', 'dan', 'bulan', 'dan', 'saya', 'sudah', 'bisa', 'aju', 'belanja', 'maupun', 'pinjam', 'uang', 'dengan', 'tenor', 'bulan', 'moga', 'ke', 'depan', 'kredivo', 'selalu', 'beri', 'mudah', 'dan', 'turun', 'tingkat', 'bunga', 'serta', 'tetep', 'lancar', 'terus', 'agar', 'dapat', 'fasilitas', 'baik', 'terima', 'kasih', 'banyak']",aplikasi kredivo bantu mudah belanja online kredit pinjam uang tenor aju belanja pinjam uang tenor moga kredivo mudah turun tingkat bunga tetep lancar fasilitas terima kasih
"['saya', 'ada', 'transaksi', 'pakai', 'rish', 'tagih', 'sudah', 'sudah', 'masuk', 'tapi', 'transaksi', 'saldo', 'tidak_masuk', 'di', 'pihak', 'merchant', 'saya', 'sudah', 'cari', 'bukti', 'juga', 'pihak', 'merchant', 'di', 'bank', 'sudah', 'di', 'kasik', 'bukti', 'tapi', 'pihak', 'kredivo', 'tidak_mau', 'tanggung', 'jawab', 'padahal', 'aplikasi', 'kredivo', 'ada', 'notifikasi', 'transaksi', 'masih', 'di', 'proses', 'silah', 'hubung', 'konsumen', 'servis', 'kredivo', 'tapi', 'pihak', 'kredivo', 'tidak_mau', 'tahu', 'nominal', 'saya', 'cukup', 'lumayan', 'jt', 'saya', 'tidak_terima', 'dana', 'tapi', 'saya', 'suruh', 'bayar', 'tagih', 'aplikasi', 'apa', 'ini']",transaksi pakai rish tagih masuk transaksi saldo tidak masuk merchant cari bukti merchant bank kasik bukti kredivo tidak mau tanggung aplikasi kredivo notifikasi transaksi proses silah hubung konsumen servis kredivo kredivo tidak mau nominal lumayan jt tidak terima dana suruh bayar tagih aplikasi
"['sering', 'pakai', 'baik', 'buat', 'belanja', 'dan', 'pinjam', 'rutin', 'bayar', 'tepat', 'waktu', 'bahkan', 'cepat', 'namun', 'tetep', 'gka', 'naik', 'limit', 'sudah', 'beberapa', 'tahun', 'pakai', 'padahal']",pakai belanja pinjam rutin bayar cepat tetep gka limit pakai
"['saya', 'rasa', 'rugi', 'oleh', 'kredivo', 'aju', 'adu', 'lambat', 'walaupun', 'sudah', 'email', 'ke', 'cs', 'sudah', 'bayar', 'tagih', 'tapi', 'tidak_di', 'proses', 'pembayran', 'saya', 'total', 'tagih', 'tidak_kurang', 'bukti', 'pembayran', 'sudah', 'lampir', 'pada', 'tanggal', 'mar', 'sudah', 'hari', 'dua', 'masih', 'lambat', 'sudah', 'denda', 'lambat', 'tinggi', 'telepon', 'tidak_henti', 'tiap', 'hari', 'sangat', 'kecewa', 'langgan']",rugi kredivo aju adu lambat email cs bayar tagih tidak di proses pembayran total tagih tidak kurang bukti pembayran lampir tanggal mar lambat denda lambat telepon tidak henti kecewa langgan
"['mudah', 'transaksi', 'proses', 'super', 'cepat', 'sangat', 'bantu', 'untuk', 'butuh', 'yang', 'desak', 'jos', 'pokok', 'men']",mudah transaksi proses super cepat bantu butuh desak jos pokok men
['keren'],keren
"['kenapa', 'akun', 'kredivo', 'saya', 'tidak_bisa', 'guna', 'untuk', 'transaksi', 'padahal', 'limit', 'masih', 'banyak', 'dan', 'tidak_pernah', 'terlambat', 'bayar', 'kecewa', 'saya', 'pada', 'akhir', 'moga', 'bisa', 'selesai', 'tim', 'analis', 'lah', 'yang', 'ini', 'dan', 'itu', 'bayar', 'tidak_sah', 'laku', 'cara', 'kala', 'ujung', 'nya', 'begitu', 'di', 'baik', 'sistem']",akun kredivo tidak bisa transaksi limit tidak pernah terlambat bayar kecewa moga selesai tim analis bayar tidak sah laku ujung nya sistem
"['terus', 'terang', 'jt', 'buat', 'limit', 'bulan', 'tidak_cukup', 'teransaksi', 'tidak_hitung', 'semua', 'bayar', 'litrik', 'air', 'indihome', 'sampai', 'perlu', 'hari', 'bahkan', 'sudah', 'langgan', 'semua', 'serba', 'otomatis', 'mungkin', 'sudah', 'lebih', 'aju', 'naik', 'limit', 'tapi', 'di', 'tolak', 'terus', 'kata', 'kalau', 'sering', 'transaksi', 'limit', 'otomatis', 'naik', 'tapi', 'sampai', 'sekarang', 'tidak_ubah', 'nilai', 'level', 'kredi', 'juga', 'jawara', 'flexibel', 'sudah', 'mentok', 'semua', 'tapi', 'limit', 'gk', 'kunjung', 'naik', 'saya', 'hanya', 'ingin', 'limit', 'bulan', 'saja', 'yang', 'tinggi']",terang jt limit tidak cukup teransaksi tidak hitung bayar litrik air indihome langgan serba otomatis aju limit tolak transaksi limit otomatis tidak ubah nilai level kredi jawara flexibel mentok limit gk kunjung limit
"['akhir', 'naik', 'limit', 'juga', 'mau', 'beli', 'kuota', 'ng', 'ribet', 'lagi']",limit beli kuota ng ribet
"['sudah', 'unduh', 'dan', 'isi', 'data', 'tapi', 'tidak_bisa', 'aju', 'pinjam', 'harus', 'nunggu', 'bulan', 'bulan', 'mungkin', 'saya', 'tidak_takdir', 'untuk', 'pinjol', 'karena', 'saya', 'baru', 'pertama', 'kali', 'pinjam', 'online', 'dan', 'itu', 'tidak_di', 'accord', 'tolong', 'data', 'saya', 'hapus', 'di', 'aplikasi', 'ini', 'tidak_salah', 'guna', 'saya', 'bisa', 'lapor', 'ke', 'pihak', 'wajib', 'apabila', 'data', 'saya', 'disalahgunakan', 'diapk', 'ini']",unduh isi data tidak bisa aju pinjam nunggu tidak takdir pinjol kali pinjam online tidak di accord tolong data hapus aplikasi tidak salah lapor wajib data disalahgunakan diapk
"['wah', 'makin', 'keren', 'saja', 'ini', 'kredivo', 'untuk', 'cicil', 'bulan', 'bila', 'masih', 'ada', 'limit', 'kita', 'masih', 'bisa', 'untuk', 'belanja', 'ayo', 'teman', 'tidak_ragu', 'pakai', 'kredivo']",keren kredivo cicil limit belanja ayo teman tidak ragu pakai kredivo
"['belum', 'waktu', 'jatuh', 'tempo', 'akun', 'saya', 'sudah', 'di', 'tangguh', 'dan', 'ketika', 'saya', 'bayar', 'bahkan', 'akun', 'saya', 'di', 'blokir', 'permanen', 'sudah', 'lebih baik', 'yang', 'belum', 'lolos', 'registrasi', 'di', 'kredivo', 'lebih baik', 'tidak_di', 'tunggu', 'lebih baik', 'di', 'copot', 'saja', 'lagi', 'sudah', 'beberapa', 'kali', 'laku', 'pinjam', 'limit', 'ga', 'naik', 'juga', 'sampah', 'lebih baik', 'blokir', 'saja', 'kredivo']",jatuh tempo akun tangguh bayar akun blokir permanen lebih baik lolos registrasi kredivo lebih baik tidak di tunggu lebih baik copot kali laku pinjam limit ga sampah lebih baik blokir kredivo
"['kenapa', 'tiba', 'tiba', 'akun', 'saya', 'kunci', 'sementara', 'gara', 'gara', 'beberapa', 'kali', 'salah', 'laku', 'kredensial', 'padahal', 'saya', 'tidak_laku', 'apa', 'apa', 'pin', 'yang', 'saya', 'masuk', 'juga', 'benar', 'kenapa', 'anggap', 'salah', 'kalau', 'error', 'terus', 'bagaimana', 'nanti', 'kalau', 'mau', 'bayar', 'tagih', 'tidak_bisa', 'pasti', 'anggap', 'buruk', 'skor', 'kredit']",akun kunci gara gara kali salah laku kredensial tidak laku pin masuk anggap salah error bayar tagih tidak bisa anggap buruk skor kredit
"['kereenn', 'tahan', 'divo', 'utama', 'langgam', 'lama', 'yang', 'riwayat', 'bayar', 'baik']",kereenn tahan divo utama langgam riwayat bayar
"['aplikasi', 'taikk', 'saya', 'sering', 'tidak', 'terlambat', 'bayar', 'kali', 'kali', 'limit', 'bahkan', 'tidak', 'di', 'naikin', 'asal', 'saya', 'baru', 'terlambat', 'bayar', 'hari', 'langsung', 'di', 'blokir', 'permanen', 'lebih baik', 'dapat', 'limit', 'ribu', 'atau', 'juta', 'ini', 'mah', 'limit', 'cuma', 'sudah', 'kayak', 'taiikk', 'ini', 'aplikasi', 'sesal', 'saya', 'bayar', 'kalau', 'tahu', 'di', 'blokir', 'permanen', 'kayak', 'gin', 'memang', 'benar', 'aplikasi', 'taiikk']",aplikasi taikk terlambat bayar kali kali limit naikin terlambat bayar langsung blokir permanen lebih baik limit ribu juta mah limit kayak taiikk aplikasi sesal bayar blokir permanen kayak gin aplikasi taiikk
"['proses', 'cepat', 'tanpa', 'ribet']",proses cepat ribet
"['aplikasi', 'parah', 'terlambat', 'dikit', 'saja', 'langsung', 'ditelp', 'kali', 'dan', 'cukup', 'ganggu', 'tiap', 'menit', 'ditelp', 'padahal', 'kalau', 'terlambat', 'pun', 'kena', 'denda', 'dan', 'aplikasi', 'blokir']",aplikasi parah terlambat dikit langsung ditelp kali ganggu menit ditelp terlambat kena denda aplikasi blokir
"['terima kasih', 'sudah', 'naik', 'limit', 'saya', 'dn', 'moga', 'limit', 'naik', 'makin', 'naik', 'terus', 'tolong', 'naik', 'saya', 'limit', 'lagi', 'agar', 'bisa', 'beli', 'barang', 'yang', 'agak', 'mahal', 'karena', 'biar', 'bisa', 'juga', 'suksesin', 'misi', 'kredivo', 'dan', 'belanja', 'butuh', 'seperti', 'elektronik', 'dan lain lain', 'sekarang', 'limit', 'saya', 'jt', 'tolong', 'naik', 'atas', 'terima kasih', 'milik', 'kredivo', 'dan', 'team', 'kredivo', 'terima kasih', 'banyak']",terima kasih limit dn moga limit tolong limit beli barang mahal biar suksesin misi kredivo belanja butuh elektronik dan lain lain limit jt tolong terima kasih milik kredivo team kredivo terima kasih
"['pas', 'banget', 'saat', 'di', 'butuh', 'untuk', 'cicil', 'benar', 'sampai', 'bulan', 'bahkan', 'untuk', 'belanja', 'di', 'mercart', 'la', 'pun', 'sama', 'bisa', 'di', 'cicil', 'sampai', 'bulan', 'kredivo', 'benar', 'bagus', 'dan', 'sangat', 'bantu', 'terima', 'kasih', 'kredivo', 'selalu', 'tingkat', 'lebih', 'baik', 'lagi']",pas banget butuh cicil belanja mercart la cicil kredivo bagus bantu terima kasih kredivo tingkat
"['alhamdulillah', 'terima', 'kasih', 'banyak', 'bisa', 'bantu', 'saya', 'dengan', 'ada', 'kredivo', 'aplikasi', 'ini', 'tapi', 'kenapa', 'limit', 'saya', 'tetep', 'saja', 'tidak_nambah', 'pada', 'hal', 'bayar', 'tepat', 'waktu', 'alhamdulillah', 'tapi', 'tetep', 'saja', 'tidak_naik', 'limit', 'terima kasih']",alhamdulillah terima kasih bantu kredivo aplikasi limit tetep tidak nambah bayar alhamdulillah tetep tidak naik limit terima kasih
"['transaksi', 'ku', 'selalu', 'sukses', 'dan', 'limit', 'ku', 'tambah', 'jadi', 'jt', 'saya', 'sangat', 'bantu', 'dengan', 'ada', 'kredivo', 'dan', 'transaksi', 'belanja', 'mudah', 'bisa', 'pakai', 'mana', 'terima kasih', 'kredivo', 'sukses', 'selalu']",transaksi ku sukses limit ku jt bantu kredivo transaksi belanja mudah pakai terima kasih kredivo sukses
"['ini', 'bagaimana', 'yaa', 'aku', 'jarang', 'buka', 'akun', 'nya', 'kok', 'harus', 'mengisi', 'data', 'lagi', 'data', 'yang', 'dulu', 'di', 'kemana', 'tolong', 'data', 'saya', 'di', 'hapus', 'saja', 'di', 'kasih', 'limit', 'juga', 'dikit', 'gk', 'pikir', 'buat', 'belanja', 'tapi', 'pas', 'buka', 'aplikasi', 'nya', 'harus', 'mengisi', 'data', 'lagi', 'teu', 'lieurr', 'mah', 'hapus', 'data', 'saya']",yaa jarang buka akun nya mengisi data data kemana tolong data hapus kasih limit dikit gk pikir belanja pas buka aplikasi nya mengisi data teu lieurr mah hapus data
"['bagai', 'nasabah', 'lama', 'aplikasi', 'ini', 'kredivo', 'saya', 'ucap', 'terima', 'kasih', 'banyak', 'karena', 'akun', 'saya', 'sudah', 'alih', 'ke', 'premium', 'tapi', 'sayang', 'nya', 'kenapa', 'nilai', 'nya', 'tidak_ubah', 'masih', 'tetap', 'di', 'nilai', 'padahal', 'saya', 'tidak_pernah', 'terlambat', 'lambat', 'dalam', 'bayar', 'terima kasih']",nasabah aplikasi kredivo terima kasih akun alih premium sayang nya nilai nya tidak ubah nilai tidak pernah terlambat lambat bayar terima kasih
"['saya', 'tiap', 'guna', 'ris', 'untuk', 'transaksi', 'kadang', 'gagal', 'buat', 'proses', 'bayar', 'tunda', 'cukup', 'lama', 'saat', 'itu', 'limit', 'saya', 'tinggi', 'dan', 'ris', 'gagal', 'di', 'siang', 'jelang', 'sore', 'tolong', 'baik', 'dengan', 'jadi', 'yang', 'saya', 'alami', 'sebut']",ris transaksi kadang gagal proses bayar tunda limit ris gagal siang jelang sore tolong alami
"['masalah', 'yang', 'selalu', 'tidak_ubah', 'dari', 'dulu', 'adalah', 'saat', 'mau', 'buka', 'aplikasi', 'tidak_pernah', 'bisa', 'karena', 'alas', 'koneksi', 'data', 'ke', 'server', 'gangguan', 'padahal', 'jaringan', 'lancar', 'banget', 'kadang', 'klu', 'buka', 'tengah', 'malam', 'baru', 'bisa', 'sudah', 'lapor', 'ke', 'cs', 'ttp', 'saja', 'tidak_ada', 'jalan', 'keluar', 'benar', 'saya', 'suka', 'sama', 'aplikasi', 'ini', 'tapi', 'yang', 'buat', 'emosi', 'karena', 'selalu', 'tidak_bisa', 'di', 'buka']",tidak ubah buka aplikasi tidak pernah alas koneksi data server gangguan jaringan lancar banget kadang klu buka malam lapor cs ttp tidak ada jalan suka aplikasi emosi tidak bisa buka
['baik'],
"['sangat', 'bantu', 'dengan', 'aplikasi', 'ini', 'bunga', 'ringan', 'buat', 'belanja', 'online', 'pertama', 'pakai', 'memang', 'risih', 'sama', 'cs', 'nya', 'belum', 'jtp', 'sudah', 'telepon', 'tapi', 'sekarang', 'sudah', 'ga', 'lagi', 'moga', 'kredivo', 'beri', 'layan', 'yang', 'lebih', 'baik', 'lagi']",bantu aplikasi bunga ringan belanja online pakai risih cs nya jtp telepon ga moga kredivo layan
