CaseFolding,Tokenizing
baru kali ini saya bener bener di rugikan sama sekali sma kredivo  saya beli kuota telkomsel yang melalui kredivo  saya konfirmasi pembayaran dan saat itu muncul tulisan eror dan saya coba lagi sampai kali masih eror  nah ketika saya masuk ke aplikasi telkomsel ternyata sukses dan yang bikin saya kecewa berrat ternyata kali coba itu sukses dan saya harus membayar rb uang dari mana coba sumpah ga ngerti lagi sama kredivo saya bener bener di rugikan  minta pertanggungjawaban,"['baru', 'kali', 'ini', 'saya', 'bener', 'bener', 'di', 'rugikan', 'sama', 'sekali', 'sma', 'kredivo', 'saya', 'beli', 'kuota', 'telkomsel', 'yang', 'melalui', 'kredivo', 'saya', 'konfirmasi', 'pembayaran', 'dan', 'saat', 'itu', 'muncul', 'tulisan', 'eror', 'dan', 'saya', 'coba', 'lagi', 'sampai', 'kali', 'masih', 'eror', 'nah', 'ketika', 'saya', 'masuk', 'ke', 'aplikasi', 'telkomsel', 'ternyata', 'sukses', 'dan', 'yang', 'bikin', 'saya', 'kecewa', 'berrat', 'ternyata', 'kali', 'coba', 'itu', 'sukses', 'dan', 'saya', 'harus', 'membayar', 'rb', 'uang', 'dari', 'mana', 'coba', 'sumpah', 'ga', 'ngerti', 'lagi', 'sama', 'kredivo', 'saya', 'bener', 'bener', 'di', 'rugikan', 'minta', 'pertanggungjawaban']"
akun premium yg ngga jelas  limit besar tp ngga bisa pakai sangat kecewa saya padahal udah lama pake kredivo sistem yg jelek mending pake akun basic ajalah bisa dipake semua limitnya,"['akun', 'premium', 'yg', 'ngga', 'jelas', 'limit', 'besar', 'tp', 'ngga', 'bisa', 'pakai', 'sangat', 'kecewa', 'saya', 'padahal', 'udah', 'lama', 'pake', 'kredivo', 'sistem', 'yg', 'jelek', 'mending', 'pake', 'akun', 'basic', 'ajalah', 'bisa', 'dipake', 'semua', 'limitnya']"
kredivo pelayanan dan pencairan cepat dan bunga rendah asalkan data  yg diberikan lengkap  terima kasih sdh membantu  semoga ke depannya lebih mudah lagi kalo top up,"['kredivo', 'pelayanan', 'dan', 'pencairan', 'cepat', 'dan', 'bunga', 'rendah', 'asalkan', 'data', 'yg', 'diberikan', 'lengkap', 'terima', 'kasih', 'sdh', 'membantu', 'semoga', 'ke', 'depannya', 'lebih', 'mudah', 'lagi', 'kalo', 'top', 'up']"
luar biasa kredivo,"['luar', 'biasa', 'kredivo']"
sampai saat ini aplikasi kredivo sangat membantu dan memudahkan dalam berbelanja online secara kredit dan ada pinjaman uang dengan tenor dan bulan dan saya sudah bisa pengajuan belanja maupun pinjaman uang dengan tenor bulan  semoga ke depan kredivo selalu memberi kemudahan dan menurunkan tingkat bunga serta tetep lancar terus agar mendapatkan fasilitas terbaik  terima kasih banyak,"['sampai', 'saat', 'ini', 'aplikasi', 'kredivo', 'sangat', 'membantu', 'dan', 'memudahkan', 'dalam', 'berbelanja', 'online', 'secara', 'kredit', 'dan', 'ada', 'pinjaman', 'uang', 'dengan', 'tenor', 'dan', 'bulan', 'dan', 'saya', 'sudah', 'bisa', 'pengajuan', 'belanja', 'maupun', 'pinjaman', 'uang', 'dengan', 'tenor', 'bulan', 'semoga', 'ke', 'depan', 'kredivo', 'selalu', 'memberi', 'kemudahan', 'dan', 'menurunkan', 'tingkat', 'bunga', 'serta', 'tetep', 'lancar', 'terus', 'agar', 'mendapatkan', 'fasilitas', 'terbaik', 'terima', 'kasih', 'banyak']"
saya ada transaksi pakai rish  tagihan sudah sudah masuk  tapi transaksi saldo tidak masuk di pihak merchant  saya sudah cari bukti jg pihak merchant di bank sudah di kasik bukti  tapi pihak kredivo tidak mau tanggung jawab  pdhl aplikasi kredivo ada notifikasi transaksi masih di proses silahkan hubungi customer service kredivo  tapi pihak kredivo tidak mau tau nominal saya cukup lumayan  jt  saya tidak terima dana  tp saya suruh bayar tagihan aplikasi apa ini,"['saya', 'ada', 'transaksi', 'pakai', 'rish', 'tagihan', 'sudah', 'sudah', 'masuk', 'tapi', 'transaksi', 'saldo', 'tidak', 'masuk', 'di', 'pihak', 'merchant', 'saya', 'sudah', 'cari', 'bukti', 'jg', 'pihak', 'merchant', 'di', 'bank', 'sudah', 'di', 'kasik', 'bukti', 'tapi', 'pihak', 'kredivo', 'tidak', 'mau', 'tanggung', 'jawab', 'pdhl', 'aplikasi', 'kredivo', 'ada', 'notifikasi', 'transaksi', 'masih', 'di', 'proses', 'silahkan', 'hubungi', 'customer', 'service', 'kredivo', 'tapi', 'pihak', 'kredivo', 'tidak', 'mau', 'tau', 'nominal', 'saya', 'cukup', 'lumayan', 'jt', 'saya', 'tidak', 'terima', 'dana', 'tp', 'saya', 'suruh', 'bayar', 'tagihan', 'aplikasi', 'apa', 'ini']"
sering make baik buat belanja dan pinjaman  rutin bayar tepat waktu bahkan dipercepat namun tetep gka naik  limitnya udah beberapa tahun make padahal,"['sering', 'make', 'baik', 'buat', 'belanja', 'dan', 'pinjaman', 'rutin', 'bayar', 'tepat', 'waktu', 'bahkan', 'dipercepat', 'namun', 'tetep', 'gka', 'naik', 'limitnya', 'udah', 'beberapa', 'tahun', 'make', 'padahal']"
saya merasa dirugikan oleh kredivo  mengajukan pengaduan tidak ditanggapi walaupun sudah email ke cs  sudah bayar tagihan tapi tidak di proses pembayran saya  total tagihan tidak berkurang  bukti pembayran sudah dilampirkan  pada tgl mar sudah hari kedua masih tidak ditanggapi  sudah denda keterlambatan tinggi telp tidak berhenti setiap hari  sangat mengecewakan pelanggan,"['saya', 'merasa', 'dirugikan', 'oleh', 'kredivo', 'mengajukan', 'pengaduan', 'tidak', 'ditanggapi', 'walaupun', 'sudah', 'email', 'ke', 'cs', 'sudah', 'bayar', 'tagihan', 'tapi', 'tidak', 'di', 'proses', 'pembayran', 'saya', 'total', 'tagihan', 'tidak', 'berkurang', 'bukti', 'pembayran', 'sudah', 'dilampirkan', 'pada', 'tgl', 'mar', 'sudah', 'hari', 'kedua', 'masih', 'tidak', 'ditanggapi', 'sudah', 'denda', 'keterlambatan', 'tinggi', 'telp', 'tidak', 'berhenti', 'setiap', 'hari', 'sangat', 'mengecewakan', 'pelanggan']"
mempermudah transaksi  proses super cepat  sangat membantu utk kebutuhan yg mendesak  jos pokok men,"['mempermudah', 'transaksi', 'proses', 'super', 'cepat', 'sangat', 'membantu', 'utk', 'kebutuhan', 'yg', 'mendesak', 'jos', 'pokok', 'men']"
keren,['keren']
